TERM,COUNT
internet,69
liberia,56
policy,51
africa,41
telecommunications,36
african,33
national,29
information,28
communications,26
abstract,26
access,23
nigeria,18
author,18
exchange,17
document,17
development,17
government,17
technology,16
broadband,16
society,15
services,14
report,14
libtelco,14
publisher,13
infrastructure,12
economic,12
telecom,11
sector,10
public,9
ministry,9
growth,9
catalog,8
project,8
article,8
website,8
library,8
international,7
language,7
service,7
universal,7
communication,7
authority,7
governance,6
rights,6
technologies,6
enacted,6
telecommunication,6
afrinic,6
number,6
statute,6
